"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"y_rep[53]",43.081,0.107502816554872,6.72035935106538,31,38,43,47,57,3907.91678105875,0.999498552808918
"y_rep[54]",157051.8875,6.85269099849797,453.370485412329,156154.85,156748,157059,157360,157924.05,4377.07703235692,0.999753249730025
"y_rep[55]",15383.78025,1.92995348545519,125.752794805077,15133,15298.75,15385,15468,15629,4245.62476245068,1.00002488750268
"y_rep[56]",15121.8415,2.00570473578871,129.478927149919,14868,15034,15123,15209,15376.05,4167.39037704509,0.999725765541709
"y_rep[57]",732.443,0.446577520744344,28.0619336295587,678,713,732,751,789,3948.584802147,1.00034404137655
"y_rep[58]",262.52925,0.263542305098106,16.7370599787323,231,251,262,274,295,4033.27342182629,1.0000243134843
"y_rep[59]",891.66225,0.480396969324939,29.3637997050923,834,872,892,911,949,3736.14728268769,0.999409123737761
"y_rep[60]",29916.06775,2.72494017176456,175.160195059896,29574.975,29798.75,29914,30030,30270.025,4131.96750495756,0.999886677616844
"y_rep[61]",152.6365,0.202018152031421,12.381041567557,129,144,152,161,178,3756.06911638508,0.999410483353326
"y_rep[62]",36714.08875,3.23593570926647,207.520830513979,36302,36573,36716,36860,37106,4112.66773964793,1.00105388280453
"y_rep[63]",374.3195,0.314282434481716,19.3907302558455,338,361,374,387,413,3806.69527179532,0.999323634485477
"y_rep[64]",14020.903,1.95005043363787,121.7274804055,13784,13939,14019,14105,14259,3896.59777765032,0.999484714258113
"y_rep[65]",10696.28725,1.62114335162188,104.31795049816,10494.975,10625.75,10696,10767,10905,4140.71417323383,0.999429134991075
"y_rep[66]",1817.34075,0.712243233849214,45.3811800454007,1729,1788,1817,1848,1908,4059.70900339199,0.999561087828459
"y_rep[67]",19161.53375,2.24626498024557,139.049649629918,18889,19067,19161,19255,19431,3831.93227608688,0.999254844717027
"y_rep[68]",146229.78525,7.12847418198434,469.411581067774,145303.975,145916,146222,146546,147150.025,4336.25125086325,1.00003486169404
"y_rep[69]",570881.22875,16.7747569566425,1019.94320158382,568882,570208.75,570886.5,571555.25,572905.05,3696.91531165927,0.999092723820087
